Word,Joint_Prob,Posterior_Prob,Frequency
deduct,1.8076923076923075,0.9038461538461537,2
vito,1.8000000000000005,0.9000000000000002,2
m.c,1.8000000000000005,0.9000000000000002,2
sheryl,1.8000000000000005,0.9000000000000002,2
eyesight,1.8000000000000005,0.9000000000000002,2
r.a.,1.8000000000000005,0.9000000000000002,2
carmela,1.8000000000000005,0.9000000000000002,2
swann,1.8000000000000005,0.9000000000000002,2
ramstein,1.8000000000000005,0.9000000000000002,2
lgbt,1.8000000000000005,0.9000000000000002,2
arcadia,1.8000000000000005,0.9000000000000002,2
pasada,1.8000000000000005,0.9000000000000002,2
peoria,1.8000000000000005,0.9000000000000002,2
volcano,1.8000000000000005,0.9000000000000002,2
liebknecht,1.8000000000000005,0.9000000000000002,2
degioia,1.8000000000000005,0.9000000000000002,2
interpret,1.7868852459016396,0.8934426229508198,2
no.1,1.7727272727272745,0.5909090909090915,3
shelley,1.76923076923077,0.884615384615385,2
spend,1.7658610271903319,0.5886203423967773,3
mick,1.7499999999999998,0.5833333333333333,3
bridgeport,1.7499999999999996,0.8749999999999998,2
vidor,1.7499999999999996,0.8749999999999998,2
ciro,1.7499999999999996,0.8749999999999998,2
america.,1.7499999999999996,0.8749999999999998,2
prokop,1.7499999999999996,0.8749999999999998,2
medford,1.7499999999999996,0.8749999999999998,2
kuhl,1.7499999999999996,0.8749999999999998,2
cafta,1.7499999999999996,0.8749999999999998,2
loot,1.7499999999999996,0.8749999999999998,2
coward,1.7499999999999996,0.4374999999999999,4
chula,1.7499999999999996,0.8749999999999998,2
jaci,1.7499999999999996,0.8749999999999998,2
robyn,1.7499999999999996,0.8749999999999998,2
altar,1.7307692307692317,0.5769230769230772,3
successor,1.7083333333333335,0.5694444444444445,3
kate,1.7058823529411755,0.8529411764705878,2
freedom,1.702513966480447,0.5675046554934823,3
hid,1.6874999999999996,0.5624999999999999,3
selma,1.6818181818181823,0.5606060606060608,3
autocrat,1.666666666666668,0.833333333333334,2
beida,1.666666666666668,0.833333333333334,2
posner,1.666666666666668,0.833333333333334,2
aneeisha,1.666666666666668,0.833333333333334,2
holloway,1.666666666666668,0.833333333333334,2
magnolia,1.666666666666668,0.833333333333334,2
metcalf,1.666666666666668,0.833333333333334,2
clone,1.666666666666668,0.833333333333334,2
gioia,1.666666666666668,0.833333333333334,2
muy,1.666666666666668,0.833333333333334,2
conscript,1.666666666666668,0.833333333333334,2
bergen,1.666666666666668,0.833333333333334,2
hornet,1.666666666666668,0.833333333333334,2
cant,1.666666666666668,0.833333333333334,2
shania,1.666666666666668,0.833333333333334,2
sarbanes-oxley,1.666666666666668,0.833333333333334,2
hablar,1.666666666666668,0.833333333333334,2
3-day,1.666666666666668,0.833333333333334,2
gabriel,1.666666666666668,0.833333333333334,2
air-to-ground,1.666666666666668,0.833333333333334,2
bagley,1.666666666666668,0.833333333333334,2
disclaim,1.666666666666668,0.833333333333334,2
christina,1.666666666666668,0.833333333333334,2
rumour,1.666666666666668,0.833333333333334,2
finnegan,1.666666666666668,0.833333333333334,2
1910,1.666666666666668,0.833333333333334,2
lockhart,1.666666666666668,0.833333333333334,2
aka,1.666666666666668,0.833333333333334,2
denton,1.666666666666668,0.833333333333334,2
ape,1.666666666666668,0.833333333333334,2
no.10,1.666666666666668,0.833333333333334,2
meltzer,1.666666666666668,0.833333333333334,2
brith,1.666666666666668,0.416666666666667,4
downey,1.666666666666668,0.833333333333334,2
ni,1.666666666666668,0.833333333333334,2
65-year-old,1.666666666666668,0.833333333333334,2
holum,1.666666666666668,0.833333333333334,2
£7¾,1.666666666666668,0.833333333333334,2
why…,1.666666666666668,0.833333333333334,2
hecht,1.666666666666668,0.833333333333334,2
uconn,1.666666666666668,0.833333333333334,2
derek,1.666666666666668,0.833333333333334,2
roper,1.666666666666668,0.833333333333334,2
voodoo,1.666666666666668,0.833333333333334,2
grill,1.666666666666668,0.833333333333334,2
rue,1.666666666666668,0.833333333333334,2
webber,1.666666666666668,0.833333333333334,2
e.o,1.666666666666668,0.833333333333334,2
beamer,1.666666666666668,0.833333333333334,2
americasupportsyou.mil,1.666666666666668,0.833333333333334,2
corella,1.666666666666668,0.833333333333334,2
allard,1.666666666666666,0.833333333333333,2
depot,1.666666666666666,0.833333333333333,2
nevada,1.666666666666666,0.833333333333333,2
1949,1.657894736842105,0.5526315789473684,3
4,1.6398305084745766,0.40995762711864414,4
kay,1.6333333333333335,0.5444444444444445,3
anti-american,1.6250000000000027,0.5416666666666675,3
lend,1.6250000000000004,0.4062500000000001,4
italian,1.6249999999999987,0.5416666666666662,3
nose,1.6071428571428568,0.5357142857142856,3
pig,1.583333333333333,0.7916666666666665,2
circuit,1.577777777777778,0.788888888888889,2
munoz,1.571428571428571,0.7857142857142855,2
xavier,1.571428571428571,0.7857142857142855,2
fitzpatrick,1.571428571428571,0.7857142857142855,2
hyatt,1.571428571428571,0.7857142857142855,2
aipac,1.5625000000000007,0.7812500000000003,2
rnc,1.545454545454546,0.772727272727273,2
6.6,1.545454545454546,0.772727272727273,2
twin,1.5217391304347823,0.7608695652173911,2
intent,1.520833333333334,0.760416666666667,2
700,1.51829268292683,0.50609756097561,3
elmer,1.500000000000002,0.25000000000000033,6
gunnison,1.5,0.75,2
1112,1.5,0.75,2
know.,1.5,0.75,2
356,1.5,0.5,3
jeter,1.5,0.75,2
kerri,1.5,0.75,2
grappl,1.5,0.5,3
begich,1.5,0.75,2
watered-down,1.5,0.75,2
blah,1.5,0.5,3
presid,1.5,0.5,3
unforc,1.5,0.5,3
middlesex,1.5,0.75,2
aunti,1.5,0.5,3
pugh,1.5,0.75,2
dikemb,1.5,0.5,3
cei,1.5,0.75,2
norristown,1.5,0.75,2
pooler,1.5,0.75,2
holiefield,1.5,0.75,2
frear,1.5,0.75,2
tammi,1.5,0.5,3
yosemit,1.5,0.5,3
hemingway,1.5,0.5,3
hercul,1.5,0.5,3
chabad,1.5,0.75,2
patman,1.5,0.75,2
homophob,1.5,0.5,3
zawahiri,1.5,0.75,2
eh.,1.5,0.75,2
luca,1.5,0.5,3
witwer,1.5,0.75,2
vers,1.5,0.5,3
gagnon,1.5,0.75,2
eduardo,1.5,0.75,2
nightlight,1.5,0.75,2
volunt,1.5,0.5,3
satterle,1.5,0.5,3
villalobo,1.5,0.5,3
ant,1.5,0.375,4
schlossberg,1.5,0.75,2
mose,1.5,0.5,3
newland,1.5,0.75,2
meyer,1.5,0.75,2
reappreci,1.5,0.5,3
heg,1.5,0.75,2
gian-carlo,1.5,0.75,2
preconcept,1.5,0.5,3
schusterman,1.5,0.75,2
softbal,1.5,0.5,3
elsa,1.5,0.75,2
repairman,1.5,0.75,2
grow,1.5,0.5,3
ozon,1.5,0.5,3
mehta,1.5,0.75,2
alana,1.5,0.75,2
cindi,1.5,0.5,3
bp,1.5,0.75,2
pierr,1.5,0.5,3
and,1.5,0.5,3
cristina,1.5,0.75,2
pre-teen,1.5,0.75,2
plutocraci,1.5,0.5,3
fifty-fifth,1.5,0.75,2
mccracken,1.5,0.75,2
coverag,1.5,0.5,3
philosoph,1.5,0.5,3
ved,1.5,0.75,2
aigner-clark,1.5,0.75,2
hairdress,1.5,0.5,3
foss,1.5,0.75,2
reclam,1.5,0.5,3
3-0.,1.5,0.75,2
luci,1.5,0.75,2
jeann,1.5,0.5,3
romantic,1.5,0.5,3
defenc,1.5,0.5,3
no-on,1.5,0.5,3
shakle,1.5,0.5,3
textil,1.5,0.5,3
—no,1.5,0.75,2
flo-jo,1.5,0.75,2
we,1.5,0.5,3
kramer,1.5,0.75,2
traumat,1.5,0.5,3
wiesenth,1.5,0.5,3
recycl,1.5,0.5,3
dorito,1.5,0.5,3
m-pact,1.5,0.75,2
yeagley,1.5,0.75,2
armistic,1.5,0.5,3
negrotti,1.5,0.75,2
braveheart,1.5,0.5,3
plaska,1.5,0.5,3
chapultepec,1.5,0.75,2
reagan,1.5,0.5,3
moistur,1.5,0.5,3
