the,189650.97154903898,0.49937324318164555,379778
.,183146.96732477465,0.5151625041131398,355513
and,131079.48385626377,0.49937324318164555,262488
to,126803.35077489934,0.49937324318164555,253925
of,102605.22153004634,0.49937324318164555,205468
in,72301.25564081137,0.49937324318164555,144784
that,70128.48265972803,0.49937324318164555,140433
we,67549.71923193801,0.49937324318164555,135269
a,67506.77313302438,0.49937324318164555,135183
i,63042.37633898048,0.49937324318164555,126243
you,47088.89933905645,0.49937324318164555,94296
it,40840.241947124516,0.49937324318164555,81783
for,40746.35977740637,0.49937324318164555,81595
is,40620.5177201246,0.49937324318164555,81343
's,32522.443671857065,0.5230959366904776,62173
our,32469.747644913776,0.49937324318164555,65021
thi,30936.043211470813,0.5205196307013076,59433
have,29954.404619007826,0.49937324318164555,59984
are,24601.62282534377,0.49937324318164555,49265
be,23219.357688216973,0.49937324318164555,46497
--,22879.605339378148,0.5250024171495674,43580
on,21045.58596064727,0.49937324318164555,42144
they,20934.725100660944,0.49937324318164555,41922
do,20835.349825267796,0.49937324318164555,41723
peopl,20561.951320422995,0.5092112758896234,40380
all,19675.305781356834,0.49937324318164555,39400
with,19007.144381979793,0.49937324318164555,38062
not,18249.095798830054,0.49937324318164555,36544
will,17686.801527007523,0.49937324318164555,35418
as,17244.856206791766,0.49937324318164555,34533
thank,17048.88771253749,0.7313980142658726,23310
but,16982.685254121403,0.49937324318164555,34008
who,16305.03576312391,0.49937324318164555,32651
want,13852.107562649473,0.5980273523571848,23163
what,13489.569418065792,0.49937324318164555,27013
n't,13368.213518338342,0.49411249374749,27055
can,13184.452366481806,0.49937324318164555,26402
state,13168.352616217247,0.6260210418929045,21035
wa,13147.363808632956,0.4659707180093197,28215
he,13126.025697029554,0.49937324318164555,26285
go,13115.607514194637,0.5330680992600649,24604
america,13014.352525790264,0.5831848237045287,22316
so,13009.67173136823,0.49937324318164555,26052
year,12930.462654784575,0.5201103195681821,24861
countri,12306.366218096222,0.5548907123318704,22178
their,12297.066113348023,0.49937324318164555,24625
're,12171.275838537013,0.5306162629059644,22938
here,11893.07315961407,0.49937324318164555,23816
work,11688.252212286034,0.528163226944692,22130
ha,11388.457367042713,0.5189072477806859,21947
more,11361.7400288688,0.49937324318164555,22752
by,11217.920534832485,0.49937324318164555,22464
there,11205.935576996126,0.49937324318164555,22440
presid,11114.212406143623,0.5628019245565942,19748
american,11096.291347429516,0.5423407305684026,20460
from,11088.58286484844,0.49937324318164555,22205
know,11071.992605391106,0.5227569690930645,21180
at,10927.78468054395,0.49937324318164555,21883
your,10820.419433259896,0.49937324318164555,21668
about,10803.44074299172,0.49937324318164555,21634
us,10366.560016421938,0.5124856642486622,20228
one,10173.103216636651,0.5004231992049117,20329
if,10117.301906860139,0.49937324318164555,20260
make,10111.135607253895,0.5369124685245271,18832
when,10021.422244169264,0.49937324318164555,20068
've,9358.416524618055,0.5218253889047649,17934
say,9226.907965526043,0.5394906136657921,17103
nation,9102.095661506695,0.5296843378437323,17184
or,9013.18766618552,0.49937324318164555,18049
time,8990.805711227205,0.5158236208391971,17430
now,8969.742194028717,0.49937324318164555,17962
becaus,8687.108857631585,0.5025517099173658,17286
my,8632.665254881107,0.49937324318164555,17287
unit,8518.201073640412,0.6596608900828941,12913
an,8473.365190306162,0.49937324318164555,16968
them,7905.57781280863,0.49937324318164555,15831
me,7734.792163640508,0.49937324318164555,15489
been,7734.292790397326,0.49937324318164555,15488
come,7624.386970517556,0.5671219109281134,13444
today,7421.958990932141,0.557287805296001,13318
just,7283.858125047482,0.49937324318164555,14586
;,7229.850437778541,0.4893630998902492,14774
veri,7210.741298231256,0.573510005426808,12573
good,7201.830074403742,0.5773935760766249,12473
up,7137.042391552079,0.49937324318164555,14292
right,7133.627555284957,0.533794339665142,13364
had,7091.599426422548,0.49937324318164555,14201
great,7063.386198381806,0.5876361229934947,12020
world,7021.682187224673,0.4937197431602217,14222
new,6969.202172969659,0.5120648179992402,13610
get,6943.985348967404,0.5042836128516633,13770
think,6870.511718350353,0.47615993612518903,14429
everi,6868.388194659171,0.5265957367675512,13043
need,6802.286900161044,0.5542480974628081,12273
'm,6800.695977513321,0.6030054954347687,11278
job,6639.709165037294,0.5791790967408665,11464
out,6602.213648104535,0.49937324318164555,13221
those,6580.740598647725,0.49937324318164555,13178
?,6566.175826277584,0.4793178937351328,13699
hi,6554.777887254264,0.538159104043864,12180
help,6382.9390038504,0.543876874902045,11736
which,6225.186849502394,0.49937324318164555,12466
would,6218.407902298233,0.48362170650942865,12858
like,6090.797833936697,0.4982247716921634,12225
were,6086.860461141077,0.49937324318164555,12189
than,5980.493960343387,0.49937324318164555,11976
other,5972.503988452481,0.49937324318164555,11960
got,5876.437264461136,0.5635789071124135,10427
senat,5674.044199076062,0.6331225395085988,8962
these,5658.897591734408,0.49937324318164555,11332
first,5567.447473784837,0.5465247348370312,10187
thing,5560.517749483723,0.467702729370319,11889
some,5559.022943098078,0.49937324318164555,11132
no,5511.08311175264,0.49937324318164555,11036
much,5332.795417643069,0.5760202438586163,9258
way,5298.657444641141,0.46725374291368094,11340
believ,5292.9449287084035,0.5405928841495663,9791
tax,5260.613056517042,0.543620239383801,9677
govern,5249.1562393885215,0.4898428741497314,10716
well,5193.613331604159,0.5044301992622532,10296
said,5139.169608445206,0.47152670964723425,10899
day,5001.636173164552,0.5210037680379742,9600
also,4907.7268404820925,0.5349604142666331,9174
famili,4835.838008292349,0.5502148149155022,8789
must,4761.641648449467,0.5506061110602991,8648
give,4640.962783449891,0.554277174662593,8373
